Id,Fecha,Cierre,Referencia,Volumen,Efectivo,Último,Máximo,Mínimo,Medio,Activo
2,09/03/2022,"156,1000","150,0000",192.222,"29.865.058,90","156,1000","157,2000","151,1000","155,3675",ACCIONA
3,10/03/2022,"155,2000","156,1000",124.055,"19.334.297,70","155,2000","159,3000","153,9000","155,8526",ACCIONA
4,11/03/2022,"161,3000","155,2000",159.788,"25.785.855,30","161,3000","164,2000","156,8000","161,3754",ACCIONA
5,14/03/2022,"158,0000","161,3000",100.997,"16.152.821,40","158,0000","165,3000","157,7000","159,9337",ACCIONA
6,15/03/2022,"160,6000","158,0000",116.630,"18.595.385,80","160,6000","162,0000","155,6000","159,7991",ACCIONA
7,16/03/2022,"159,7000","160,6000",148.695,"23.860.863,30","159,7000","163,9000","158,0000","159,6349",ACCIONA
8,17/03/2022,"163,3000","159,7000",145.231,"23.625.334,70","163,3000","164,6000","159,9000","162,6742",ACCIONA
9,18/03/2022,"163,9000","163,3000",150.742,"24.692.905,60","163,9000","165,0000","161,8000","163,8082",ACCIONA
10,21/03/2022,"164,6000","163,9000",88.048,"14.515.069,70","164,6000","166,8000","162,7000","164,8541",ACCIONA
11,22/03/2022,"165,6000","164,6000",78.694,"12.968.178,80","165,6000","166,2000","162,8000","164,7925",ACCIONA
12,23/03/2022,"161,6000","165,6000",69.454,"11.276.871,00","161,6000","167,0000","161,2000","162,3646",ACCIONA
13,24/03/2022,"164,8000","161,6000",94.319,"15.439.104,60","164,8000","164,9000","161,6000","163,6903",ACCIONA
14,25/03/2022,"166,1000","164,8000",76.191,"12.664.552,20","166,1000","167,3000","163,7000","166,2211",ACCIONA
15,28/03/2022,"170,7000","166,1000",138.262,"23.361.055,90","170,7000","171,8000","166,1000","169,9698",ACCIONA
16,29/03/2022,"169,6000","170,7000",182.238,"31.085.528,90","169,6000","173,1000","168,4000","170,1483",ACCIONA
17,30/03/2022,"169,8000","169,6000",96.667,"16.373.118,60","169,8000","170,4000","167,2000","169,3765",ACCIONA
18,31/03/2022,"173,5000","169,8000",141.337,"24.382.058,10","173,5000","174,1000","169,5000","172,8675",ACCIONA
19,01/04/2022,"175,8000","173,5000",152.976,"26.735.226,40","175,8000","176,6000","172,2000","175,4209",ACCIONA
20,04/04/2022,"177,6000","175,8000",94.788,"16.791.978,10","177,6000","178,3000","175,1000","177,1530",ACCIONA
21,05/04/2022,"183,0000","177,6000",152.627,"27.660.357,40","183,0000","184,7000","175,3000","181,2285",ACCIONA
22,06/04/2022,"185,7000","183,0000",145.611,"26.793.110,30","185,7000","185,7000","180,9000","184,0047",ACCIONA
23,07/04/2022,"187,0000","185,7000",190.954,"35.762.487,00","187,0000","190,6000","184,9000","187,6412",ACCIONA
24,08/04/2022,"192,0000","187,0000",101.044,"19.266.492,20","192,0000","192,1000","187,3000","190,6743",ACCIONA
26,09/03/2022,"9,7200","9,5800",2.071.227,"20.034.382,12","9,7200","9,8820","9,3660","9,6727",ACERINOX
27,10/03/2022,"9,3700","9,7200",2.251.096,"21.233.257,66","9,3700","9,7580","9,3160","9,4324",ACERINOX
28,11/03/2022,"9,4300","9,3700",2.183.594,"20.494.993,44","9,4300","9,5720","9,1000","9,3859",ACERINOX
29,14/03/2022,"9,6300","9,4300",1.254.373,"12.040.251,99","9,6300","9,7440","9,3720","9,5977",ACERINOX
30,15/03/2022,"9,5240","9,6300",1.085.349,"10.332.686,23","9,5240","9,6760","9,3700","9,5202",ACERINOX
31,16/03/2022,"10,1350","9,5240",1.557.074,"15.548.552,22","10,1350","10,1600","9,7400","9,9857",ACERINOX
32,17/03/2022,"10,1600","10,1350",1.144.661,"11.641.506,40","10,1600","10,4150","10,0200","10,1703",ACERINOX
33,18/03/2022,"9,9760","10,1600",2.097.299,"20.999.119,15","9,9760","10,2800","9,9140","10,0177",ACERINOX
34,21/03/2022,"10,3600","9,9760",999.581,"10.236.514,88","10,3600","10,3600","9,9940","10,2408",ACERINOX
35,22/03/2022,"10,7200","10,3600",1.355.929,"14.433.212,89","10,7200","10,7650","10,3700","10,6445",ACERINOX
36,23/03/2022,"10,3450","10,7200",1.683.939,"17.539.204,09","10,3450","10,8200","10,1700","10,4156",ACERINOX
37,24/03/2022,"10,2800","10,3450",1.492.314,"15.458.380,29","10,2800","10,6800","10,2300","10,3587",ACERINOX
38,25/03/2022,"10,3200","10,2800",1.226.945,"12.570.950,28","10,3200","10,3800","10,1350","10,2480",ACERINOX
39,28/03/2022,"10,0950","10,3200",1.249.883,"12.756.734,49","10,0950","10,4200","10,0650","10,2047",ACERINOX
